model,T,acc,n,meta_i2r,mi_lo,mi_hi,p_perm,auroc2,a_lo,a_hi,null_mean
Llama-3-Instruct,0.3,0.5626,5000,0.2744534266282111,0.25410805412955084,0.2950592090416733,0.0012484394506866417,0.8313438277537938,0.8195345479506888,0.8417353132402926,0.0010417081799407176
Llama-3-Instruct,0.5,0.5606,5000,0.26429093112712054,0.24476524827371612,0.28447085443887954,0.0012484394506866417,0.825734862721861,0.8139122215503566,0.8357792821141234,0.0010204343028166554
Llama-3-Instruct,0.7,0.5482,5000,0.285820434888058,0.2659385762693698,0.3080716631968345,0.0012484394506866417,0.837889998238026,0.8268816996907661,0.8486795200599085,0.0010058301540619473
Llama-3-Instruct,1.0,0.5434,5000,0.2757188574956875,0.2552367599339535,0.29627544592845706,0.0012484394506866417,0.8313464436294508,0.8192059224968324,0.8419674967080858,0.0010256986765390353
Mistral-Instruct,0.3,0.4428,5000,0.3052068218916958,0.2838115070869529,0.3272385487395961,0.0012484394506866417,0.8435967746851434,0.8318333609603852,0.853752897951202,0.0010189394869049284
Mistral-Instruct,0.5,0.4376,5000,0.31740554063020704,0.2960373593207794,0.34118582210193027,0.0012484394506866417,0.8509663143852021,0.8397545011330008,0.8614039364776143,0.001006927925692405
Mistral-Instruct,0.7,0.4348,5000,0.3245046410787174,0.30389145932215983,0.34656018775281183,0.0012484394506866417,0.8547319182958089,0.8442117071703226,0.8649525417196503,0.0010305312437519398
Mistral-Instruct,1.0,0.4274,5000,0.32845554276016886,0.30747317304535493,0.35364775486790484,0.0012484394506866417,0.8551373754930143,0.8441210931769156,0.8656477640624951,0.0010367567020356954
Llama-3-Base,0.3,0.5712,5000,0.19140936656124036,0.1745396350514047,0.21127526143424505,0.0012484394506866417,0.7808959404657385,0.7683265841993364,0.7933590805406472,0.0009993560117101945
Llama-3-Base,0.5,0.5394,5000,0.22494584075680935,0.206430806155839,0.24577540472602444,0.0012484394506866417,0.8016229093582857,0.7891909461771995,0.8137445576020388,0.0009774822512224337
Llama-3-Base,0.7,0.4986,5000,0.24354666403647102,0.2250895969731061,0.26462874819392873,0.0012484394506866417,0.8126524511952173,0.8011765244395176,0.8244330292548081,0.0010390098087023464
Llama-3-Base,1.0,0.4284,5000,0.29224718332065913,0.27324774786419254,0.31481331025803266,0.0012484394506866417,0.8391547895108592,0.8283122712262179,0.850035527320557,0.001036397810271608
Gemma-2-Instruct,0.3,0.6098,5000,0.16737788263659845,0.14941837224305793,0.18701073819972502,0.0012484394506866417,0.762929557026789,0.7490515263423183,0.7768533826112514,0.0010410454298610012
Gemma-2-Instruct,0.5,0.6066,5000,0.1593915481787751,0.14236638463588416,0.17819169709932392,0.0012484394506866417,0.7589189647649789,0.7443482162740029,0.7724472906908553,0.0010648335051445335
Gemma-2-Instruct,0.7,0.6058,5000,0.15538842593156083,0.1377441296056024,0.17441905728016566,0.0012484394506866417,0.7571644239290779,0.7420758374184708,0.770575381854791,0.0010523473480812827
Gemma-2-Instruct,1.0,0.6004,5000,0.1428103036993048,0.1273282678316528,0.16077004864031685,0.0012484394506866417,0.746957483799589,0.733545938074343,0.7604778532985559,0.001058646988505416
